Student_ID,Gender,Age,Parental_Education,Internet_Access,Extracurricular_Activity,Primary_Study_Resource,Study_Hours_Per_Week,Attendance_Percent,Math_Score,Science_Score,English_Score,Final_Score,Result
STU1001,Female,15,No Formal Education,Yes,Yes,School Library,7.7,98.6,82.4,62.2,61.4,63.2,Pass
STU1002,Female,16,Bachelor's,No,Yes,School Library,15.1,86.0,67.8,71.9,67.3,68.9,Pass
STU1003,Female,16,Bachelor's,Yes,No,School Library,14.0,83.2,71.5,78.7,74.1,73.5,Pass
STU1004,Male,15,No Formal Education,Yes,No,School Library,15.6,85.5,80.5,68.1,59.6,68.3,Pass
STU1005,Female,16,High School,Yes,No,Private Tuition,1.0,80.2,53.8,54.4,39.5,50.2,Pass
STU1006,Female,16,Bachelor's,Yes,No,Private Tuition,2.7,77.4,44.8,46.6,34.1,36.0,Fail
STU1007,Male,16,Bachelor's,Yes,Yes,School Library,9.0,99.7,83.7,74.7,94.1,89.9,Pass
STU1008,Male,15,Bachelor's,Yes,Yes,Online Courses,12.1,78.8,90.0,89.2,90.1,88.5,Pass
STU1009,Female,15,Bachelor's,Yes,Yes,Private Tuition,14.2,67.3,80.5,78.7,76.5,81.1,Pass
STU1010,Male,16,High School,Yes,Yes,Online Courses,9.6,100.0,58.7,56.9,57.7,64.0,Pass
STU1011,Female,16,High School,No,Yes,Self Study,4.7,58.3,55.6,35.6,61.0,51.8,Pass
STU1012,Male,17,Master's,Yes,Yes,School Library,12.8,91.4,61.6,76.2,77.6,72.2,Pass
STU1013,Male,15,Master's,Yes,No,Online Courses,9.3,86.0,75.0,89.5,69.7,78.0,Pass
STU1014,Female,17,Bachelor's,Yes,No,Self Study,13.2,90.8,73.3,69.7,73.4,73.7,Pass
STU1015,Male,17,Master's,No,Yes,School Library,16.1,83.8,78.5,83.5,82.8,85.6,Pass
STU1016,Male,17,Master's,Yes,No,Self Study,13.4,78.3,87.6,97.0,83.9,86.6,Pass
